"Año","Fecha","Destino","Descripción","Documento"
2017,"15-12-2017","CÁDIZ","JORNADA SOBRE TRANSPARENCIA Y ADMINISTRACIÓN LOCAL ""UN DESAFÍO PERMANENTE"" ","https://www.ctpdandalucia.es/sites/default/files/inline-files/19-viaje-a-cadiz-15-de-diciembre-de-2017.pdf"
2018,"23-01-2018","MADRID","DÍA 23 REUNIÓN COMISIONADOS DE TRANSPARENCIA. DÍA 24 ASISTENCIA CONSEJO CONSULTIVO DE LA AGENCIA DE PROTECCIÓN DE DATOS","https://www.ctpdandalucia.es/sites/default/files/inline-files/01-viaje-a-madrid-23-y-24-de-enero-2018.pdf"
2018,"14-02-2018","VALENCIA","FORO DE SEGURIDAD Y PROTECCIÓN DE DATOS DE SALUD 14 Y 15 DE FEBRERO ","https://www.ctpdandalucia.es/sites/default/files/inline-files/02-viaje-a-valencia-14-y-15-de-febrero-2018.pdf"
2018,"23-02-2018","CÁDIZ","PRESENTACIÓN DEL N.º 5 DE LA REVISTA ESPAÑOLA DE TRANSPARENCIA  ","https://www.ctpdandalucia.es/sites/default/files/inline-files/03-viaje-a-cadiz-23-de-febrero-2018.pdf"
2018,"20-03-2018","MADRID","COLOQUIO  LA TRANSPARENCIA EN LA NUEVA NORMATIVA DE PROTECCIÓN DE DATOS","https://www.ctpdandalucia.es/sites/default/files/inline-files/04-viaje-a-madrid-20-de-marzo-2018.pdf"
2018,"25-04-2018","ZARAGOZA","FORO TRANSPARENCIA E INNOVACIÓN DEMOCRÁTICA","https://www.ctpdandalucia.es/sites/default/files/inline-files/05-viaje-a-zaragoza-25-y-26-de-abril-2018.pdf"
2018,"17-05-2018","CASTELLÓN DE LA PLANA","CONGRESO INTERNACIONAL SOBRE EL IMPACTO DEL REGLAMENTO EUROPEO DE PROTECCIÓN DE DATOS: ANÁLISIS NACIONAL Y COMPARADO","https://www.ctpdandalucia.es/sites/default/files/inline-files/06-viaje-a-castellon-de-la-plana-17-y-18-mayo-2018.pdf"
2018,"04-06-2018","MADRID","10ª SESIÓN ANUAL ABIERTA DE LA AEPD","https://www.ctpdandalucia.es/sites/default/files/inline-files/07_viaje_a_madrid_04_de_junio_2018.pdf"
2018,"12-06-2018","CÁDIZ"," REUNIÓN CON LA PRESIDENTE DE LA DIPUTACIÓN DE CÁDIZ","https://www.ctpdandalucia.es/sites/default/filesinline-files//08_viaje_a_cadiz_12_de_junio_2018.pdf"
2018,"13-06-2018","MADRID","COMISIÓN MIXTA DE SEGUIMIENTO DE PROTOCOLO GENERAL DE ACTUACIÓN ENTRE LOS ÓRGANOS DE TRANSPARENCIA Y LA FUNDACIÓN DEMOCRACIA Y GOBIERNO LOCAL","https://www.ctpdandalucia.es/sites/default/filesinline-files//09_viaje_a_madrid_13_de_junio_2018.pdf"
2018,"28-06-2018","MADRID","VARIAS REUNIONES / COMISIONADOS DE TRANSPARENCIA","https://www.ctpdandalucia.es/sites/default/files/inline-files/10_viaje_a_madrid_28_y_29_de_junio_2018.pdf"
2018,"12-07-2018","MADRID","ASISTENCIA AL CONSEJO CONSEJO CONSULTIVO DE LA AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS","https://www.ctpdandalucia.es/sites/default/files/inline-files/11_viaje_a_madrid_12_de_julio_de_2018.pdf"
2018,"25-09-2018","CÁDIZ","III CONGRESO INTERNACIONAL DE TRANSPARENCIA","https://www.ctpdandalucia.es/sites/default/files/inline-files/12_viaje_a_cadiz_25_al_29_de_septiembre_2018.pdf"
2018,"05-10-2018","GRANADA","JORNADA “EL SISTEMA DE TRANSPARENCIA Y ACCESO A LA INFORMACIÓN PÚBLICA DESDE LA IGUALDAD DE GÉNERO Y LA NO DISCRIMINACIÓN","https://www.ctpdandalucia.es/sites/default/files/inline-files/13_viaje_a_granada_05_de_octubre_de_2018.pdf"
2018,"13-11-2018","MADRID","25 ANIVERSARIO DE LA AGENCIA ESPAÑOLA DE PROTECCIÓN DE DATOS","https://www.ctpdandalucia.es/sites/default/files/inline-files/15_viaje_a_malaga_15_de_noviembre_de_2018.pdf"
2018,"21-11-2018","MADRID","ASISTENCIA AL SENADO","https://www.ctpdandalucia.es/sites/default/files/inline-files/16_viaje_a_madrid_21_y_22_de_noviembre_de_2018.pdf"
2018,"29-11-2018","CASTELLÓN DE LA PLANA","JORNADA “CONTENIDO Y LÍMITES DE DERECHO DE ACCESO A LA INFORMACIÓN”","https://www.ctpdandalucia.es/sites/default/files/inline-files/17_viaje_a_castellon_29_y_30_de_noviembre_de_2018.pdf"
2018,"04-12-2018","ARGANDA DEL REY ","II ENCUENTRO Y III ASAMBLEA RED DE TRANSPARENCIA Y PARTICIPACIÓN CIUDADANA","https://www.ctpdandalucia.es/sites/default/files/inline-files/18_viaje_a_arganda_del_rey_03_al_05_de_diciembre_de_2018.pdf"
